grouping,group_name,hemi,ROI,idx
5,brainstem,R,brain_stem,130
5,brainstem,R,colliculus_sup_deeper,131
5,brainstem,R,colliculus_sup_superficial,132
5,brainstem,R,entopeduncular_nucleus,133
5,brainstem,R,interpeduncular_nucleus,134
5,brainstem,R,pag,135
5,brainstem,R,pretectum,136
6,olfactory bulb,R,olfactory_bulb,140
6,olfactory bulb,R,olfactory_bulb_access_glom,141
6,olfactory bulb,R,olfactory_bulb_glom,142
7,hippocampus,R,dorsal_hipp,148
7,hippocampus,R,fasciola_cinereum,149
7,hippocampus,R,parasubiculum,150
7,hippocampus,R,presubiculum,151
7,hippocampus,R,ventral_hipp,152
